,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Talanoa Hufanga,SFO,1,1,0,1,1,0.0,11,9,2,2,0,0,0,0,0,HufaTa00
Nick Bosa,SFO,0,0,0,0,0,1.0,5,4,1,1,2,0,0,0,0,BosaNi00
Samson Ebukam,SFO,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,EbukSa00
Fred Warner,SFO,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,WarnFr00
Azeez Al-Shaair,SFO,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,AlShAz00
Dre Greenlaw,SFO,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0,GreeDr00
Tashaun Gipson,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,GipsTa00
Hassan Ridgeway,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,RidgHa00
Arik Armstead,SFO,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,ArmsAr01
Drake Jackson,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,JackDr01
Emmanuel Moseley,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,MoseEm00
Charvarius Ward,SFO,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,WardCh01
Trey Lance,SFO,0,0,0,0,0,0.0,1,1,0,0,0,1,-5,0,0,LancTr00
Jordan Mason,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MasoJo00
Tarvarius Moore,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MoorTa00
Ambry Thomas,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ThomAm00
Eddie Jackson,CHI,1,26,0,26,1,0.0,4,2,2,0,0,0,0,0,0,JackEd01
Dominique Robinson,CHI,0,0,0,0,0,1.5,7,5,2,1,2,0,0,0,0,RobiDo00
Roquan Smith,CHI,0,0,0,0,1,0.5,9,7,2,0,1,0,0,0,0,SmitRo07
Kyler Gordon,CHI,0,0,0,0,0,0.0,6,6,0,1,0,0,0,0,0,GordKy00
Nicholas Morrow,CHI,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,MorrNi00
Kindle Vildor,CHI,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,VildKi00
Matthew Adams,CHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,AdamMa00
Jaquan Brisker,CHI,0,0,0,0,0,0.0,4,4,0,1,0,1,0,0,0,BrisJa01
Jaylon Johnson,CHI,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,1,JohnJa13
Trevis Gipson,CHI,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0,GipsTr00
Justin Jones,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,JoneJu03
Robert Quinn,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,QuinRo00
Armon Watts,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WattAr01
Ryan Griffin,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,GrifRy00
Khalil Herbert,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HerbKh00
Jaylon Jones,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JoneJa12
Al-Quadin Muhammad,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MuhaAl00
Mike Pennel,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,PennMi00
Dante Pettis,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,PettDa00
