,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W/L
0,Patrick Mahomes,KAN,25,34,423,19,54.3,265,7.8,229,9.2,6.7,194,7.8,1,3.1%,5,15.6%,1,9,3,1,5,14.3%,0,,W
1,Chad Henne,KAN,0,2,0,,,-4,-2.0,0,,0.0,0,,1,50.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Jimmy Garoppolo,SFO,25,37,303,14,33.3,248,6.7,141,5.6,3.8,162,6.5,0,0.0%,6,16.2%,5,12,1,2,8,19.0%,0,,W
4,Brock Purdy,SFO,4,9,66,4,44.4,97,10.8,56,14.0,6.2,10,2.5,1,11.1%,3,33.3%,0,2,0,0,0,0.0%,1,1.0,W
0,Bryce Perkins,LAR,13,23,100,7,26.9,139,6.0,60,4.6,2.6,40,3.1,0,0.0%,3,13.0%,3,6,6,3,12,41.4%,3,9.0,W
1,Riley Dixon,LAR,1,1,6,1,100.0,4,4.0,4,4.0,4.0,2,2.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Patrick Mahomes,KAN,27,42,320,20,47.6,264,6.3,160,5.9,3.8,160,5.9,1,2.7%,7,18.9%,0,8,7,2,9,19.6%,4,9.0,W
0,Patrick Mahomes,KAN,20,35,262,12,33.3,292,8.3,100,5.0,2.9,162,8.1,2,6.3%,5,15.6%,1,2,4,4,9,22.5%,4,6.5,L
1,Tommy Townsend,KAN,0,1,0,,,1,1.0,0,,0.0,0,,0,0.0%,1,100.0%,0,1,0,0,0,0.0%,0,,L
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
3,Matt Ryan,IND,27,37,222,12,28.6,165,4.5,106,3.9,2.9,116,4.3,2,5.6%,6,16.7%,5,17,1,5,11,25.6%,1,3.0,L
0,Derek Carr,LVR,19,30,241,6,18.8,308,10.3,139,7.3,4.6,102,5.4,1,3.7%,6,22.2%,2,11,5,4,11,33.3%,1,3.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Patrick Mahomes,KAN,29,43,292,18,39.1,274,6.4,142,4.9,3.3,150,5.2,2,4.8%,9,21.4%,3,19,3,3,9,18.8%,2,10.0,W
0,Josh Allen,BUF,27,40,329,18,43.9,295,7.4,209,7.7,5.2,120,4.4,0,0.0%,10,25.0%,1,15,1,3,5,11.4%,3,6.0,L
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
2,Patrick Mahomes,KAN,25,40,338,16,37.2,220,5.5,139,5.6,3.5,199,8.0,1,2.7%,8,21.6%,3,10,0,6,9,19.1%,4,5.3,L
0,Justin Herbert,LAC,33,48,334,15,30.0,235,4.9,156,4.7,3.3,178,5.4,2,4.3%,5,10.9%,2,13,3,6,11,22.0%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Patrick Mahomes,KAN,24,35,235,11,30.6,249,7.1,132,5.5,3.8,103,4.3,0,0.0%,4,12.5%,1,9,1,2,4,11.1%,0,,W
0,Patrick Mahomes,KAN,28,42,352,15,34.1,294,7.0,79,2.8,1.9,273,9.8,2,4.8%,9,21.4%,2,14,1,3,6,13.6%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Russell Wilson,DEN,23,36,247,9,21.4,161,4.5,77,3.3,2.1,170,7.4,3,8.6%,5,14.3%,6,11,0,2,8,17.8%,3,14.7,W
3,Brett Rypien,DEN,4,8,16,1,12.5,70,8.8,6,1.5,0.8,10,2.5,0,0.0%,4,50.0%,0,1,0,2,2,25.0%,0,,W
0,Russell Wilson,DEN,26,38,222,12,28.6,192,5.1,86,3.3,2.3,136,5.2,3,8.6%,1,2.9%,4,6,3,5,12,27.9%,1,4.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Patrick Mahomes,KAN,29,42,328,18,42.9,313,7.5,141,4.9,3.4,187,6.4,1,2.4%,7,16.7%,0,9,1,3,4,8.9%,3,3.0,W
0,Geno Smith,SEA,25,40,215,8,19.0,267,6.7,136,5.4,3.4,79,3.2,3,7.9%,6,15.8%,2,5,3,5,10,22.7%,2,7.0,W
