,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
0,JuJu Smith-Schuster,KAN,8,7,124,1,6,61,8.7,63,9.0,9.1,0,,0,0.0,0,158.3,W
1,Travis Kelce,KAN,8,6,98,0,4,49,8.2,49,8.2,5.6,3,2.0,1,12.5,0,115.6,W
2,Mecole Hardman,KAN,4,4,32,1,2,8,2.0,24,6.0,2.0,0,,0,0.0,0,139.6,W
3,Marquez Valdes-Scantling,KAN,4,3,111,0,3,95,31.7,16,5.3,26.5,0,,0,0.0,0,116.7,W
4,Jerick McKinnon,KAN,3,2,36,0,1,-1,-0.5,37,18.5,0.7,0,,1,33.3,0,107.6,W
5,Justin Watson,KAN,2,1,4,1,1,4,4.0,0,0.0,4.5,0,,0,0.0,0,95.8,W
6,Noah Gray,KAN,1,1,10,0,1,7,7.0,3,3.0,7.0,0,,0,0.0,0,108.3,W
7,Jody Fortson,KAN,2,1,8,0,1,6,6.0,2,2.0,6.0,0,,0,0.0,0,60.4,W
8,Clyde Edwards-Helaire,KAN,1,0,0,0,0,0,,0,,-10.0,0,,0,0.0,0,39.6,W
9,Skyy Moore,KAN,1,0,0,0,,0,,0,,8.0,0,,0,0.0,1,0.0,W
10,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
11,Brandon Aiyuk,SFO,11,7,82,0,4,37,5.3,45,6.4,5.3,0,,0,0.0,0,86.2,W
12,George Kittle,SFO,9,6,98,1,5,64,10.7,34,5.7,10.8,0,,0,0.0,1,100.5,W
13,Deebo Samuel,SFO,7,5,42,0,1,20,4.0,22,4.4,3.6,0,,0,0.0,0,86.6,W
14,Ray-Ray McCloud,SFO,4,4,65,1,4,60,15.0,5,1.3,15.0,0,,0,0.0,0,158.3,W
15,Kyle Juszczyk,SFO,4,3,34,0,1,11,3.7,23,7.7,2.8,1,3.0,0,0.0,0,100.0,W
16,Jauan Jennings,SFO,4,2,24,0,2,9,4.5,15,7.5,8.0,0,,1,25.0,1,29.2,W
17,Christian McCaffrey,SFO,2,2,24,0,1,-4,-2.0,28,14.0,-2.0,0,,0,0.0,0,116.7,W
18,Jeff Wilson,SFO,1,0,0,0,0,0,,0,,8.0,0,,0,0.0,0,39.6,W
19,Danny Gray,SFO,2,0,0,0,,0,,0,,29.0,0,,0,0.0,0,39.6,W
20,Tyrion Davis-Price,SFO,2,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6,W
0,Kyren Williams,LAR,3,3,25,0,1,1,0.3,24,8.0,0.3,0,,0,0.0,0,101.4,W
1,Van Jefferson,LAR,6,3,29,1,2,29,9.7,0,0.0,9.5,0,,0,0.0,2,63.9,W
2,Tutu Atwell,LAR,2,2,23,0,2,20,10.0,3,1.5,10.0,0,,0,0.0,0,114.6,W
3,Ben Skowronek,LAR,4,2,5,0,,4,2.0,1,0.5,1.0,0,,0,0.0,0,56.2,W
4,Brandon Powell,LAR,2,2,6,0,1,2,1.0,4,2.0,1.0,0,,0,0.0,0,79.2,W
5,Jacob Harris,LAR,1,1,6,0,1,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7,W
6,Brycen Hopkins,LAR,2,1,12,0,1,4,4.0,8,8.0,6.0,0,,0,0.0,0,68.7,W
7,Lance McCutcheon,LAR,4,0,0,0,,0,,0,,10.8,0,,0,0.0,0,39.6,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Skyy Moore,KAN,6,5,36,0,3,12,2.4,24,4.8,4.7,0,,0,0.0,0,91.7,W
10,Marquez Valdes-Scantling,KAN,5,4,56,0,4,50,12.5,6,1.5,11.2,0,,1,20.0,0,113.3,W
11,Travis Kelce,KAN,8,4,57,1,3,32,8.0,25,6.3,6.1,0,,0,0.0,1,73.4,W
12,Jerick McKinnon,KAN,6,3,26,0,2,-6,-2.0,32,10.7,0.0,1,3.0,0,0.0,0,61.8,W
13,JuJu Smith-Schuster,KAN,3,3,38,0,3,24,8.0,14,4.7,8.0,1,3.0,0,0.0,0,118.7,W
14,Noah Gray,KAN,2,2,16,0,,3,1.5,13,6.5,1.5,0,,0,0.0,0,100.0,W
15,Justin Watson,KAN,2,2,26,0,2,22,11.0,4,2.0,11.0,0,,0,0.0,0,118.7,W
16,Jody Fortson,KAN,3,2,26,0,1,17,8.5,9,4.5,8.7,0,,0,0.0,0,93.7,W
17,Isiah Pacheco,KAN,1,1,17,0,1,7,7.0,10,10.0,7.0,0,,0,0.0,0,118.7,W
18,Ronald Jones II,KAN,1,1,22,0,1,-1,-1.0,23,23.0,-1.0,0,,0,0.0,0,118.7,W
0,Clyde Edwards-Helaire,KAN,5,5,39,0,1,-1,-0.2,40,8.0,-0.2,0,,0,0.0,0,99.2,L
1,JuJu Smith-Schuster,KAN,8,5,89,0,4,36,7.2,53,10.6,14.1,0,,0,0.0,1,60.9,L
2,Marquez Valdes-Scantling,KAN,7,4,48,0,3,32,8.0,16,4.0,13.3,0,,0,0.0,0,78.3,L
3,Travis Kelce,KAN,8,4,58,1,3,28,7.0,30,7.5,7.0,2,2.0,1,12.5,0,113.5,L
4,Noah Gray,KAN,2,1,26,0,1,8,8.0,18,18.0,4.5,0,,0,0.0,0,95.8,L
5,Mecole Hardman,KAN,1,1,2,0,,-3,-3.0,5,5.0,-3.0,0,,0,0.0,0,79.2,L
6,Justin Watson,KAN,1,0,0,0,,0,,0,,15.0,0,,1,100.0,0,39.6,L
7,Jerick McKinnon,KAN,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,L
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
9,Michael Pittman Jr.,IND,9,8,72,0,4,27,3.4,45,5.6,3.8,0,,0,0.0,0,100.0,L
10,Nyheim Hines,IND,6,5,23,0,1,-8,-1.6,31,6.2,-1.2,0,,1,16.7,0,82.6,L
11,Jonathan Taylor,IND,5,3,20,0,1,1,0.3,19,6.3,-0.4,0,,0,0.0,0,68.7,L
12,Alec Pierce,IND,5,3,61,0,3,52,17.3,9,3.0,14.2,0,,0,0.0,0,102.9,L
13,Jelani Woods,IND,3,2,13,2,2,13,6.5,0,0.0,10.7,0,,0,0.0,0,115.3,L
14,Kylen Granson,IND,2,2,7,0,,7,3.5,0,0.0,3.5,0,,0,0.0,0,81.2,L
15,Parris Campbell,IND,2,2,10,0,,6,3.0,4,2.0,3.0,0,,0,0.0,0,87.5,L
16,Ashton Dulin,IND,1,1,7,0,1,3,3.0,4,4.0,3.0,0,,0,0.0,0,95.8,L
17,Mo Alie-Cox,IND,3,1,9,0,,5,5.0,4,4.0,2.0,0,,1,33.3,0,42.4,L
0,Josh Jacobs,LVR,5,5,39,0,1,-12,-2.4,51,10.2,-2.4,0,,0,0.0,0,99.2,W
1,Hunter Renfrow,LVR,4,4,25,0,1,22,5.5,3,0.8,5.5,0,,0,0.0,0,92.7,W
2,Davante Adams,LVR,7,3,124,2,3,100,33.3,24,8.0,22.0,0,,0,0.0,0,129.5,W
3,Brandon Bolden,LVR,3,3,29,0,1,15,5.0,14,4.7,5.0,1,3.0,0,0.0,0,106.9,W
4,Jesper Horsted,LVR,3,3,19,0,,13,4.3,6,2.0,4.3,0,,0,0.0,0,93.1,W
5,Jakob Johnson,LVR,1,1,5,0,,1,1.0,4,4.0,1.0,1,1.0,0,0.0,0,87.5,W
6,Mack Hollins,LVR,4,0,0,0,,0,,0,,26.0,0,,1,25.0,0,39.6,W
7,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
8,Travis Kelce,KAN,8,7,25,4,5,13,1.9,12,1.7,6.5,3,2.3,0,0.0,0,119.3,W
