,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
0,Isiah Pacheco,KAN,8,43,0,1,32,4.0,11,1.4,0,,W
1,Clyde Edwards-Helaire,KAN,6,32,1,1,21,3.5,11,1.8,1,6.0,W
2,Chad Henne,KAN,3,-3,0,,-3,-1.0,0,0.0,0,,W
3,Mecole Hardman,KAN,2,28,2,2,28,14.0,0,0.0,0,,W
4,Jerick McKinnon,KAN,2,12,0,0,9,4.5,3,1.5,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Christian McCaffrey,SFO,8,38,0,2,28,3.5,10,1.3,1,8.0,W
7,Jeff Wilson,SFO,7,54,0,3,40,5.7,14,2.0,1,7.0,W
8,Tyrion Davis-Price,SFO,2,4,0,,0,0.0,4,2.0,1,2.0,W
9,Jimmy Garoppolo,SFO,2,2,0,1,2,1.0,0,0.0,0,,W
10,Brock Purdy,SFO,1,1,0,0,1,1.0,0,0.0,0,,W
11,Deebo Samuel,SFO,1,2,0,0,1,1.0,1,1.0,0,,W
0,Kyren Williams,LAR,11,35,0,1,22,2.0,13,1.2,0,,W
1,Bryce Perkins,LAR,9,44,0,3,34,3.8,10,1.1,0,,W
2,Cam Akers,LAR,8,37,0,1,10,1.3,27,3.4,1,8.0,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Isiah Pacheco,KAN,22,69,1,2,35,1.6,34,1.5,1,22.0,W
5,Ronald Jones II,KAN,4,12,0,1,6,1.5,6,1.5,0,,W
6,Patrick Mahomes,KAN,4,36,0,3,36,9.0,0,0.0,0,,W
0,Clyde Edwards-Helaire,KAN,7,0,1,1,-6,-0.9,6,0.9,1,7.0,L
1,Jerick McKinnon,KAN,7,20,0,,16,2.3,4,0.6,0,,L
2,Patrick Mahomes,KAN,4,26,0,3,26,6.5,0,0.0,0,,L
3,Isiah Pacheco,KAN,3,9,0,,7,2.3,2,0.7,0,,L
4,Michael Burton,KAN,1,2,0,1,1,1.0,1,1.0,0,,L
5,Travis Kelce,KAN,1,1,0,1,0,0.0,1,1.0,0,,L
6,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
7,Jonathan Taylor,IND,21,71,0,3,48,2.3,23,1.1,2,10.5,L
8,Nyheim Hines,IND,3,7,0,1,7,2.3,0,0.0,0,,L
9,Matt Ryan,IND,3,4,0,1,2,0.7,2,0.7,0,,L
0,Josh Jacobs,LVR,21,154,1,9,56,2.7,98,4.7,4,5.3,W
1,Brandon Bolden,LVR,1,5,0,0,5,5.0,0,0.0,0,,W
2,Derek Carr,LVR,1,3,0,0,3,3.0,0,0.0,0,,W
3,Zamir White,LVR,1,-7,0,,-7,-7.0,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Clyde Edwards-Helaire,KAN,9,15,0,2,3,0.3,12,1.3,0,,W
6,Jerick McKinnon,KAN,8,53,0,3,15,1.9,38,4.8,3,2.7,W
7,Patrick Mahomes,KAN,4,28,0,1,27,6.8,1,0.3,0,,W
8,Mecole Hardman,KAN,1,7,0,1,3,3.0,4,4.0,1,1.0,W
9,Isiah Pacheco,KAN,1,0,0,,0,0.0,0,0.0,0,,W
0,Devin Singletary,BUF,17,85,0,3,62,3.6,23,1.4,1,17.0,L
1,Josh Allen,BUF,12,32,0,4,23,1.9,9,0.8,0,,L
2,James Cook,BUF,2,8,0,,4,2.0,4,2.0,0,,L
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
4,Clyde Edwards-Helaire,KAN,9,33,0,2,26,2.9,7,0.8,0,,L
5,Patrick Mahomes,KAN,4,21,0,2,19,4.8,2,0.5,0,,L
6,Jerick McKinnon,KAN,2,1,0,0,1,0.5,0,0.0,0,,L
7,Isiah Pacheco,KAN,2,9,0,0,6,3.0,3,1.5,0,,L
8,Travis Kelce,KAN,1,4,0,0,1,1.0,3,3.0,0,,L
0,Austin Ekeler,LAC,14,39,0,4,19,1.4,20,1.4,0,,W
1,Joshua Kelley,LAC,4,22,0,,8,2.0,14,3.5,1,4.0,W
2,Sony Michel,LAC,4,13,0,,8,2.0,5,1.3,0,,W
3,Justin Herbert,LAC,2,1,0,1,1,0.5,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Clyde Edwards-Helaire,KAN,8,74,0,1,17,2.1,57,7.1,0,,W
6,Jerick McKinnon,KAN,4,12,0,0,9,2.3,3,0.8,0,,W
7,Patrick Mahomes,KAN,2,-1,0,0,-1,-0.5,0,0.0,0,,W
8,Isiah Pacheco,KAN,2,6,0,,3,1.5,3,1.5,0,,W
9,Michael Burton,KAN,1,6,0,1,4,4.0,2,2.0,0,,W
10,Mecole Hardman,KAN,1,-4,0,0,-4,-4.0,0,0.0,0,,W
