,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
0,Isiah Pacheco,KAN,8,43,0,1,32,4.0,11,1.4,0,
1,Clyde Edwards-Helaire,KAN,6,32,1,1,21,3.5,11,1.8,1,6.0
2,Chad Henne,KAN,3,-3,0,,-3,-1.0,0,0.0,0,
3,Mecole Hardman,KAN,2,28,2,2,28,14.0,0,0.0,0,
4,Jerick McKinnon,KAN,2,12,0,0,9,4.5,3,1.5,0,
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
6,Christian McCaffrey,SFO,8,38,0,2,28,3.5,10,1.3,1,8.0
7,Jeff Wilson,SFO,7,54,0,3,40,5.7,14,2.0,1,7.0
8,Tyrion Davis-Price,SFO,2,4,0,,0,0.0,4,2.0,1,2.0
9,Jimmy Garoppolo,SFO,2,2,0,1,2,1.0,0,0.0,0,
10,Brock Purdy,SFO,1,1,0,0,1,1.0,0,0.0,0,
11,Deebo Samuel,SFO,1,2,0,0,1,1.0,1,1.0,0,
0,Ezekiel Elliott,DAL,10,26,0,2,17,1.7,9,0.9,0,
1,Tony Pollard,DAL,6,22,0,,16,2.7,6,1.0,0,
2,Dak Prescott,DAL,4,22,0,2,22,5.5,0,0.0,0,
3,CeeDee Lamb,DAL,2,6,0,1,6,3.0,0,0.0,0,
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
5,Elijah Mitchell,SFO,14,51,0,3,42,3.0,9,0.6,1,14.0
6,Christian McCaffrey,SFO,10,35,1,4,22,2.2,13,1.3,0,
7,Deebo Samuel,SFO,4,11,0,0,7,1.8,4,1.0,0,
8,Brock Purdy,SFO,3,8,0,0,8,2.7,0,0.0,0,
9,Kyle Juszczyk,SFO,1,8,0,,6,6.0,2,2.0,0,
0,Christian McCaffrey,SFO,19,121,1,6,78,4.1,43,2.3,0,
1,Jordan Mason,SFO,2,13,1,1,7,3.5,6,3.0,0,
2,Brock Purdy,SFO,2,-3,0,0,-3,-1.5,0,0.0,0,
3,Brandon Aiyuk,SFO,1,16,0,1,11,11.0,5,5.0,0,
4,Tyrion Davis-Price,SFO,1,5,0,1,2,2.0,3,3.0,0,
5,Danny Gray,SFO,1,9,0,,2,2.0,7,7.0,0,
6,Kyle Juszczyk,SFO,1,9,0,1,1,1.0,8,8.0,0,
7,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
8,Josh Jacobs,LVR,17,69,1,4,32,1.9,37,2.2,0,
9,Brandon Bolden,LVR,8,32,0,2,20,2.5,12,1.5,0,
10,Jarrett Stidham,LVR,7,34,0,4,30,4.3,4,0.6,0,
0,Cam Akers,LAR,8,13,0,1,1,0.1,12,1.5,0,
1,Darrell Henderson,LAR,7,27,0,1,13,1.9,14,2.0,0,
2,Matthew Stafford,LAR,2,6,0,0,0,0.0,6,3.0,1,2.0
3,Brandon Powell,LAR,1,11,0,1,10,10.0,1,1.0,0,
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
5,Jeff Wilson,SFO,18,74,1,2,52,2.9,22,1.2,0,
6,Deebo Samuel,SFO,2,2,0,0,2,1.0,0,0.0,0,
7,Jimmy Garoppolo,SFO,1,3,0,1,3,3.0,0,0.0,0,
8,Kyle Juszczyk,SFO,1,9,0,1,7,7.0,2,2.0,0,
0,Rashaad Penny,SEA,6,15,0,,9,1.5,6,1.0,0,
1,Kenneth Walker III,SEA,4,10,0,1,4,1.0,6,1.5,1,4.0
2,Travis Homer,SEA,2,9,0,2,6,3.0,3,1.5,0,
3,Geno Smith,SEA,2,2,0,0,1,0.5,1,0.5,0,
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
5,Jeff Wilson,SFO,18,84,0,4,68,3.8,16,0.9,1,18.0
6,Tyrion Davis-Price,SFO,14,33,0,2,9,0.6,24,1.7,1,14.0
7,Jimmy Garoppolo,SFO,4,5,1,2,1,0.3,4,1.0,0,
8,Deebo Samuel,SFO,4,53,0,1,0,0.0,53,13.3,1,4.0
9,Trey Lance,SFO,3,13,0,1,12,4.0,1,0.3,0,
10,Kyle Juszczyk,SFO,2,1,1,1,0,0.0,1,0.5,0,
0,Trey Lance,SFO,13,54,0,6,38,2.9,16,1.2,2,6.5
1,Jeff Wilson,SFO,9,22,0,,12,1.3,10,1.1,0,
2,Deebo Samuel,SFO,8,52,1,3,34,4.3,18,2.3,1,8.0
3,Elijah Mitchell,SFO,6,41,0,2,28,4.7,13,2.2,1,6.0
4,Brandon Aiyuk,SFO,1,7,0,0,4,4.0,3,3.0,0,
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
6,David Montgomery,CHI,17,26,0,0,19,1.1,7,0.4,1,17.0
7,Justin Fields,CHI,11,28,0,3,15,1.4,13,1.2,1,11.0
8,Khalil Herbert,CHI,9,45,1,3,32,3.6,13,1.4,1,9.0
0,Christian McCaffrey,SFO,18,94,1,5,61,3.4,33,1.8,3,6.0
1,Jeff Wilson,SFO,4,14,0,2,11,2.8,3,0.8,0,
2,Jimmy Garoppolo,SFO,1,3,0,1,2,2.0,1,1.0,0,
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
4,Ronnie Rivers,LAR,8,21,0,1,16,2.0,5,0.6,0,
5,Malcolm Brown,LAR,5,10,0,,8,1.6,2,0.4,0,
6,Darrell Henderson,LAR,4,16,0,,13,3.3,3,0.8,0,
7,Cooper Kupp,LAR,2,10,0,1,7,3.5,3,1.5,0,
8,Matthew Stafford,LAR,2,-1,1,1,-1,-0.5,0,0.0,0,
0,Rachaad White,TAM,13,56,0,3,44,3.4,12,0.9,0,
1,Leonard Fournette,TAM,4,13,0,1,7,1.8,6,1.5,0,
2,Tom Brady,TAM,2,0,0,0,0,0.0,0,0.0,0,
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
4,Christian McCaffrey,SFO,14,119,1,6,84,6.0,35,2.5,0,
5,Jordan Mason,SFO,11,56,0,3,27,2.5,29,2.6,0,
6,Deebo Samuel,SFO,4,21,1,1,18,4.5,3,0.8,0,
7,Ray-Ray McCloud,SFO,3,7,0,0,5,1.7,2,0.7,0,
8,Josh Johnson,SFO,2,3,0,0,-1,-0.5,4,2.0,0,
9,Brock Purdy,SFO,2,3,1,2,2,1.0,1,0.5,0,
0,Corey Clement,ARI,8,23,1,2,13,1.6,10,1.3,0,
1,Keaontay Ingram,ARI,3,5,0,1,4,1.3,1,0.3,0,
2,Trace McSorley,ARI,3,13,0,1,13,4.3,0,0.0,0,
3,David Blough,ARI,2,-2,0,0,-2,-1.0,0,0.0,0,
4,Pharoh Cooper,ARI,2,7,0,,4,2.0,3,1.5,1,2.0
5,Greg Dortch,ARI,2,15,0,1,8,4.0,7,3.5,0,
6,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
7,Christian McCaffrey,SFO,10,45,0,3,24,2.4,21,2.1,0,
8,Tyrion Davis-Price,SFO,8,27,0,1,21,2.6,6,0.8,0,
9,Jordan Mason,SFO,8,28,0,,22,2.8,6,0.8,0,
10,Elijah Mitchell,SFO,5,55,2,4,44,8.8,11,2.2,0,
11,Brock Purdy,SFO,4,7,0,1,7,1.8,0,0.0,0,
12,Kyle Juszczyk,SFO,1,3,0,1,2,2.0,1,1.0,0,
13,Deebo Samuel,SFO,1,4,0,0,4,4.0,0,0.0,0,
0,Elijah Mitchell,SFO,9,59,0,2,36,4.0,23,2.6,1,9.0
1,Christian McCaffrey,SFO,7,39,0,1,19,2.7,20,2.9,0,
2,Jordan Mason,SFO,4,14,0,1,2,0.5,12,3.0,1,4.0
3,Brock Purdy,SFO,3,3,0,,0,0.0,3,1.0,0,
4,Deebo Samuel,SFO,3,37,1,1,37,12.3,0,0.0,0,
5,Jimmy Garoppolo,SFO,1,3,0,1,0,0.0,3,3.0,0,
6,Kyle Juszczyk,SFO,1,4,0,1,2,2.0,2,2.0,0,
7,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
8,James Conner,ARI,14,42,1,4,12,0.9,30,2.1,0,
9,Keaontay Ingram,ARI,5,19,0,1,10,2.0,9,1.8,0,
10,Colt McCoy,ARI,3,6,0,1,6,2.0,0,0.0,0,
11,Trace McSorley,ARI,1,6,0,0,6,6.0,0,0.0,0,
12,Rondale Moore,ARI,1,-6,0,,-6,-6.0,0,0.0,0,
