,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
0,Amon-Ra St. Brown,DET,9,6,73,0,4,19,3.2,54,9.0,5.0,0,,0,0.0,0,91.4,W
1,Josh Reynolds,DET,10,6,96,0,4,67,11.2,29,4.8,17.2,0,,0,0.0,0,92.1,W
2,D'Andre Swift,DET,4,3,15,0,1,-6,-2.0,21,7.0,-0.8,0,,0,0.0,0,80.2,W
3,T.J. Hockenson,DET,4,3,18,1,1,15,5.0,3,1.0,3.5,0,,0,0.0,0,122.9,W
4,DJ Chark,DET,6,3,46,0,3,42,14.0,4,1.3,19.5,0,,0,0.0,1,36.1,W
5,Jamaal Williams,DET,2,2,20,0,1,4,2.0,16,8.0,2.0,1,2.0,0,0.0,0,108.3,W
6,Kalif Raymond,DET,1,1,4,0,,1,1.0,3,3.0,1.0,1,1.0,0,0.0,0,83.3,W
7,Craig Reynolds,DET,1,1,5,0,,-1,-1.0,6,6.0,-1.0,0,,0,0.0,0,87.5,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Adam Thielen,MIN,8,6,61,1,6,46,7.7,15,2.5,11.0,0,,0,0.0,0,135.9,W
10,K.J. Osborn,MIN,8,5,73,1,3,58,11.6,15,3.0,16.3,0,,0,0.0,0,131.8,W
11,Justin Jefferson,MIN,6,3,14,0,,7,2.3,7,2.3,5.3,0,,0,0.0,0,56.2,W
12,Johnny Mundt,MIN,2,2,23,0,2,0,0.0,23,11.5,0.0,2,1.0,0,0.0,0,114.6,W
13,Irv Smith Jr.,MIN,6,2,32,0,2,14,7.0,18,9.0,5.2,0,,1,16.7,0,52.1,W
14,C.J. Ham,MIN,3,2,15,0,1,0,0.0,15,7.5,4.3,1,2.0,0,0.0,0,78.5,W
15,Ben Ellefson,MIN,2,2,24,0,2,14,7.0,10,5.0,7.0,0,,0,0.0,0,116.7,W
16,Jalen Reagor,MIN,1,1,2,0,,-1,-1.0,3,3.0,-1.0,0,,0,0.0,0,79.2,W
17,Alexander Mattison,MIN,1,1,16,0,0,3,3.0,13,13.0,3.0,0,,0,0.0,0,118.7,W
0,Saquon Barkley,NYG,10,8,49,0,2,-26,-3.3,75,9.4,-1.9,0,,1,10.0,0,87.1,W
1,Isaiah Hodgins,NYG,12,8,89,1,5,79,9.9,10,1.3,8.4,0,,0,0.0,1,81.6,W
2,Richie James,NYG,11,8,90,0,4,64,8.0,26,3.3,7.4,0,,2,18.2,0,96.8,W
3,Darius Slayton,NYG,6,4,79,0,4,36,9.0,43,10.8,13.7,0,,0,0.0,0,109.7,W
4,Daniel Bellinger,NYG,2,2,27,0,,18,9.0,9,4.5,9.0,0,,0,0.0,0,118.7,W
5,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
6,T.J. Hockenson,MIN,16,13,109,2,6,62,4.8,47,3.6,8.4,0,,0,0.0,0,134.6,W
7,Justin Jefferson,MIN,16,12,133,1,8,88,7.3,45,3.8,9.4,1,12.0,0,0.0,0,120.1,W
8,Dalvin Cook,MIN,4,3,13,0,0,-3,-1.0,16,5.3,-1.5,1,3.0,0,0.0,0,78.1,W
9,K.J. Osborn,MIN,4,3,17,0,1,-1,-0.3,18,6.0,3.3,1,3.0,0,0.0,0,82.3,W
10,C.J. Ham,MIN,1,1,5,0,1,3,3.0,2,2.0,3.0,0,,0,0.0,0,87.5,W
11,Johnny Mundt,MIN,1,1,16,0,1,-1,-1.0,17,17.0,-1.0,0,,0,0.0,0,118.7,W
12,Adam Thielen,MIN,5,1,6,0,,2,2.0,4,4.0,5.4,0,,1,20.0,0,39.6,W
0,Cole Kmet,CHI,4,4,45,0,2,24,6.0,21,5.3,6.0,0,,0,0.0,0,113.5,W
1,David Montgomery,CHI,4,4,62,0,3,1,0.3,61,15.3,0.3,1,4.0,0,0.0,0,118.7,W
2,Darnell Mooney,CHI,5,2,52,0,2,40,20.0,12,6.0,19.8,0,,0,0.0,0,78.7,W
3,Equanimeous St. Brown,CHI,2,2,24,0,1,17,8.5,7,3.5,8.5,0,,0,0.0,0,116.7,W
4,Ryan Griffin,CHI,1,1,1,0,,0,0.0,1,1.0,0.0,0,,0,0.0,0,79.2,W
5,Velus Jones Jr.,CHI,1,1,9,1,1,-5,-5.0,14,14.0,-5.0,0,,0,0.0,0,143.7,W
6,Ihmir Smith-Marsette,CHI,2,1,15,0,,10,10.0,5,5.0,5.5,0,,0,0.0,0,75.0,W
7,Dante Pettis,CHI,2,0,0,0,,0,,0,,13.0,0,,2,100.0,0,39.6,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Justin Jefferson,MIN,13,12,154,0,9,93,7.8,61,5.1,7.1,1,12.0,0,0.0,0,116.0,W
10,K.J. Osborn,MIN,5,5,41,0,1,30,6.0,11,2.2,6.0,0,,0,0.0,0,100.8,W
11,Irv Smith Jr.,MIN,5,4,42,0,2,23,5.8,19,4.8,4.2,0,,0,0.0,0,101.7,W
12,Adam Thielen,MIN,7,4,27,0,2,19,4.8,8,2.0,5.3,0,,0,0.0,1,26.2,W
13,Alexander Mattison,MIN,4,3,21,0,2,-4,-1.3,25,8.3,-0.5,0,,1,25.0,0,86.5,W
14,Dalvin Cook,MIN,2,2,27,0,1,-10,-5.0,37,18.5,-5.0,1,2.0,0,0.0,0,118.7,W
15,Johnny Mundt,MIN,2,2,6,0,,-4,-2.0,10,5.0,-2.0,0,,0,0.0,0,79.2,W
16,Jalen Reagor,MIN,1,1,1,1,1,-3,-3.0,4,4.0,-3.0,0,,0,0.0,0,118.7,W
0,DeAndre Hopkins,ARI,13,12,159,1,9,143,11.9,16,1.3,12.5,0,,1,7.7,0,143.3,W
1,Rondale Moore,ARI,8,7,92,1,3,5,0.7,87,12.4,1.3,1,7.0,1,12.5,0,154.2,W
2,Eno Benjamin,ARI,7,4,23,0,2,1,0.3,22,5.5,-0.4,0,,1,14.3,0,63.4,W
3,Zach Ertz,ARI,5,4,34,1,3,7,1.8,27,6.8,5.4,1,4.0,0,0.0,1,95.0,W
4,Greg Dortch,ARI,3,2,12,0,,-2,-1.0,14,7.0,0.7,0,,0,0.0,0,74.3,W
5,Darrel Williams,ARI,3,2,6,0,0,-7,-3.5,13,6.5,-3.3,0,,0,0.0,0,70.1,W
6,Chosen Anderson,ARI,3,0,0,0,,0,,0,,24.7,0,,0,0.0,1,0.0,W
7,A.J. Green,ARI,1,0,0,0,,0,,0,,26.0,0,,0,0.0,0,39.6,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Justin Jefferson,MIN,8,6,98,0,3,55,9.2,43,7.2,10.6,0,,0,0.0,0,115.6,W
10,Adam Thielen,MIN,7,6,67,0,4,57,9.5,10,1.7,10.9,0,,0,0.0,0,106.5,W
11,Dalvin Cook,MIN,6,5,30,0,2,-2,-0.4,32,6.4,0.2,0,,0,0.0,0,87.5,W
12,Irv Smith Jr.,MIN,4,4,28,0,,14,3.5,14,3.5,3.5,0,,0,0.0,0,95.8,W
13,K.J. Osborn,MIN,5,2,8,1,1,2,1.0,6,3.0,5.0,0,,0,0.0,0,87.5,W
14,Johnny Mundt,MIN,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,W
0,Justin Jefferson,MIN,13,10,147,0,5,85,8.5,62,6.2,8.8,0,,1,7.7,0,113.3,W
1,Adam Thielen,MIN,9,8,72,0,5,61,7.6,11,1.4,7.6,0,,0,0.0,0,100.0,W
2,Irv Smith Jr.,MIN,4,3,23,0,1,9,3.0,14,4.7,6.3,0,,0,0.0,1,49.0,W
3,Dalvin Cook,MIN,2,2,10,0,1,0,0.0,10,5.0,0.0,0,,0,0.0,0,87.5,W
4,Alexander Mattison,MIN,1,1,15,1,1,0,0.0,15,15.0,0.0,1,1.0,0,0.0,0,158.3,W
5,Jalen Nailor,MIN,1,1,13,0,1,13,13.0,0,0.0,13.0,0,,0,0.0,0,118.7,W
6,K.J. Osborn,MIN,2,1,6,0,1,6,6.0,0,0.0,6.0,0,,1,50.0,0,56.2,W
7,C.J. Ham,MIN,1,0,0,0,,0,,0,,19.0,0,,1,100.0,0,39.6,W
8,Johnny Mundt,MIN,1,0,0,0,,0,,0,,1.0,0,,1,100.0,0,39.6,W
9,Jalen Reagor,MIN,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6,W
